id,label,cluster
DB07465,"(1S,3S,5S)-2-{(2S)-2-AMINO-2-[(1R,3S,5R,7S)-3-HYDROXYTRICYCLO[3.3.1.1~3,7~]DEC-1-YL]ACETYL}-2-AZABICYCLO[3.1.0]HEXANE-3-CARBONITRILE",33
DB11827,STEGLATRO,198
DB12200,TIVANTINIB,463
DB07801,N-BUTYL-3-{[6-(9H-PURIN-6-YLAMINO)HEXANOYL]AMINO}BENZAMIDE,192
DB00351,MEGACE,0
DB04781,5-HYDROXYVALERIC ACID,337
DB13407,NIFENAZONE,0
DB00118,ADEMETIONINE,628
DB00769,HYDROCORTAMATE,484
DB07029,"4-(1,3-BENZODIOXOL-5-YLOXY)-2-[4-(1H-IMIDAZOL-1-YL)PHENOXY]-6-METHYLPYRIMIDINE",133
DB13584,GALLAMINE,0
DB05386,RECOMBINANT HUMAN GM-CSF,396
DB13338,FLURITHROMYCIN,0
DB03161,THYMIDINE-5'-DIPHOSPHO-BETA-D-XYLOSE,502
DB07702,"(16ALPHA,17ALPHA)-ESTRA-1,3,5(10)-TRIENE-3,16,17-TRIOL",476
DB07573,"(2S)-1-(2,5-DIMETHYLPHENOXY)-3-MORPHOLIN-4-YLPROPAN-2-OL",170
DB09167,DOSULEPIN,0
DB08335,"4-HYDROXYBENZALDEHYDE O-(3,3-DIMETHYLBUTANOYL)OXIME",480
DB08441,"6-BROMO-13-THIA-2,4,8,12,19-PENTAAZATRICYCLO[12.3.1.1~3,7~]NONADECA-1(18),3(19),4,6,14,16-HEXAENE 13,13-DIOXIDE",363
DB07807,"(3R,4R,5R)-5-(HYDROXYMETHYL)-1-(3-PHENYLPROPYL)PIPERIDINE-3,4-DIOL",188
DB07291,5-AMINO-1-(4-CHLOROPHENYL)-1H-PYRAZOLE-4-CARBONITRILE,226
DB00302,LYSTEDA,438
DB08416,"(9BETA,13ALPHA,14BETA,17ALPHA)-2-METHOXYESTRA-1,3,5(10)-TRIENE-3,17-DIYL DISULFAMATE",129
DB02216,S-METHYLCYSTEINE,302
DB05475,GOLOTIMOD,355
DB06696,ARBEKACIN,338
DB01664,(S)-DES-ME-AMPA,244
DB12844,RONTALIZUMAB,0
DB01792,ADENYLYL-3'-5'-PHOSPHO-URIDINE-3'-MONOPHOSPHATE,630
DB01545,ETHYL LOFLAZEPATE,0
DB08040,N-[(2R)-2-BENZYL-4-(HYDROXYAMINO)-4-OXOBUTANOYL]-L-ALANINE,392
DB03383,5-CHLORO-1H-INDOLE-2-CARBOXYLIC ACID [1-(4-FLUOROBENZYL)-2-(4-HYDROXYPIPERIDIN-1YL)-2-OXOETHYL]AMIDE,289
DB02379,BETA-D-GLUCOSE,241
DB06714,PROPYLHEXEDRINE,407
DB01910,SINEFUNGIN,628
DB11239,ASSURED,0
